countryCode	year	sex	laborForcePartipation	pctAdvancedEdu	pctBasicEdu	lifeExpect	literacyRate
AUT	2013	Female	54.5970001220703	75.9328002929688	46.6277008056641	83.8	..
AUT	2014	Female	54.5610008239746	76.173698425293	46.7510986328125	84	..
AUT	2015	Female	54.5359992980957	76.4943008422852	46.7335014343262	83.7	..
AUT	2016	Female	54.9469985961914	76.0018997192383	48.5774002075195	83.4	..
AZE	1990	Female	52.1279983520508	..	..	68.817	..
AZE	1991	Female	52.2630004882813	..	..	68.917	..
AZE	1992	Female	53.1790008544922	..	..	69.024	..
AZE	1993	Female	54.3009986877441	..	..	69.148	..
AZE	1994	Female	55.3950004577637	..	..	69.286	..
AZE	1995	Female	56.148998260498	..	..	69.428	..
AZE	1996	Female	56.2779998779297	..	..	69.553	..
AZE	1997	Female	56.2280006408691	..	..	69.653	..
AZE	1998	Female	56.0270004272461	..	..	69.729	..
AZE	1999	Female	55.9410018920898	..	..	69.797	98.1747817993164
AZE	2000	Female	56.9889984130859	..	..	69.891	..
AZE	2001	Female	57.8880004882813	..	..	70.06	..
AZE	2002	Female	58.7190017700195	..	..	70.33	..
AZE	2003	Female	59.5	..	..	70.713	..
AZE	2004	Female	60.265998840332	..	..	71.2	..
AZE	2005	Female	61.0509986877441	..	..	71.76	..
AZE	2006	Female	61.8400001525879	..	..	72.347	..
AZE	2007	Female	62.6780014038086	..	..	72.91	99.3978805541992
AZE	2008	Female	62.2869987487793	..	..	73.405	..
AZE	2009	Female	61.8639984130859	..	..	73.813	99.6821517944336
AZE	2010	Female	61.3759994506836	..	..	74.127	99.692626953125
AZE	2011	Female	60.7649993896484	..	..	74.355	99.704963684082
AZE	2012	Female	61.1040000915527	..	..	74.527	99.7028579711914
AZE	2013	Female	61.3230018615723	..	..	74.672	99.7168197631836
AZE	2014	Female	61.9230003356934	..	..	74.801	99.7196578979492
AZE	2015	Female	62.5169982910156	..	..	74.924	99.7171401977539
AZE	2016	Female	62.9630012512207	..	..	75.046	99.7195510864258
BHS	1990	Female	64.8330001831055	..	..	74.152	..
BHS	1991	Female	65.6630020141602	..	..	74.307	..
BHS	1992	Female	66.4929962158203	..	..	74.431	..
BHS	1993	Female	67.3010025024414	..	..	74.528	..
BHS	1994	Female	68.0289993286133	..	..	74.607	..
BHS	1995	Female	68.3219985961914	..	..	74.683	..
BHS	1996	Female	68.4680023193359	..	..	74.774	..
BHS	1997	Female	68.5490036010742	..	..	74.894	..
BHS	1998	Female	68.7919998168945	..	..	75.05	..
BHS	1999	Female	69.1110000610352	..	..	75.245	..
BHS	2000	Female	69.2050018310547	..	..	75.476	..
BHS	2001	Female	69.4759979248047	..	..	75.733	..
BHS	2002	Female	69.7050018310547	..	..	76.001	..
BHS	2003	Female	69.6740036010742	..	..	76.265	..
BHS	2004	Female	69.7300033569336	..	..	76.517	..
BHS	2005	Female	69.9209976196289	..	..	76.753	..
BHS	2006	Female	70.004997253418	..	..	76.969	..
BHS	2007	Female	70.068000793457	..	..	77.171	..
BHS	2008	Female	70.0009994506836	..	..	77.361	..
BHS	2009	Female	69.8880004882813	..	..	77.54	..
BHS	2010	Female	70.0910034179688	..	..	77.709	..
BHS	2011	Female	69.9919967651367	..	..	77.869	..
BHS	2012	Female	70.0869979858398	..	..	78.023	..
BHS	2013	Female	70.0699996948242	..	..	78.173	..
BHS	2014	Female	70.0090026855469	..	..	78.32	..
BHS	2015	Female	69.870002746582	..	..	78.465	..
BHS	2016	Female	69.7959976196289	..	..	78.609	..
BHR	1990	Female	28.8509998321533	..	..	73.651	..
BHR	1991	Female	28.9379997253418	..	..	73.831	76.9323196411133
BHR	1992	Female	29.5139999389648	..	..	74.011	..
BHR	1993	Female	30.1800003051758	..	..	74.19	..
BHR	1994	Female	30.9169998168945	..	..	74.37	..
BHR	1995	Female	31.6720008850098	..	..	74.55	..
BHR	1996	Female	32.2029991149902	..	..	74.73	..
BHR	1997	Female	32.7299995422363	..	..	74.909	..
BHR	1998	Female	33.3170013427734	..	..	75.085	..
BHR	1999	Female	34.0040016174316	..	..	75.258	..
BHR	2000	Female	34.7760009765625	..	..	75.43	..
BHR	2001	Female	35.492000579834	..	..	75.601	83.5574188232422
BHR	2002	Female	36.2050018310547	..	..	75.771	..
BHR	2003	Female	37.0439987182617	..	..	75.942	..
BHR	2004	Female	37.9710006713867	..	..	76.112	..
BHR	2005	Female	38.943000793457	..	..	76.282	..
BHR	2006	Female	39.6510009765625	..	..	76.45	..
BHR	2007	Female	40.5050010681152	..	..	76.615	..
BHR	2008	Female	41.5009994506836	..	..	76.776	..
BHR	2009	Female	42.6040000915527	..	..	76.933	..
BHR	2010	Female	43.7630004882813	..	..	77.087	91.6125793457031
BHR	2011	Female	43.0040016174316	..	..	77.239	..
BHR	2012	Female	43.2029991149902	..	..	77.39	..
BHR	2013	Female	43.4049987792969	..	..	77.542	..
BHR	2014	Female	43.6150016784668	..	..	77.693	..
BHR	2015	Female	43.8009986877441	..	..	77.844	..
BHR	2016	Female	43.9010009765625	..	..	77.995	..
BGD	1990	Female	23.1110000610352	..	..	58.784	..
BGD	1991	Female	23.193000793457	..	..	59.428	25.8389797210693
BGD	1992	Female	23.3570003509521	..	..	60.092	..
BGD	1993	Female	23.6009998321533	..	..	60.773	..
BGD	1994	Female	23.9209995269775	..	..	61.467	..
BGD	1995	Female	24.3150005340576	..	..	62.172	..
BGD	1996	Female	24.7029991149902	..	..	62.883	..
BGD	1997	Female	25.1709995269775	..	..	63.596	..
BGD	1998	Female	25.6840000152588	..	..	64.303	..
BGD	1999	Female	26.1900005340576	..	..	65	..
BGD	2000	Female	26.6580009460449	..	..	65.677	..
BGD	2001	Female	26.9790000915527	..	..	66.326	40.8233489990234
BGD	2002	Female	27.2759990692139	..	..	66.947	..
BGD	2003	Female	27.5450000762939	..	..	67.54	..
BGD	2004	Female	27.7900009155273	..	..	68.109	..
BGD	2005	Female	28.0270004272461	..	..	68.664	..
BGD	2006	Female	28.1070003509521	83.9794998168945	91.4521026611328	69.218	..
BGD	2007	Female	28.568000793457	..	..	69.781	43.7408485412598
BGD	2008	Female	29.0389995574951	..	..	70.355	..
BGD	2009	Female	29.5160007476807	..	..	70.939	..
